módulo,tipo,descrição,complementos,conclusão,frase completa
Dermatologia,Lesão cística superficial,"Formação nodular anecoica circunscrita na derme/subcutâneo, com trato conectando à bainha tendínea/articulação.",Discreto reforço acústico posterior e vascularização ausente ao Doppler.,Achados sugestivos de cisto sinovial.,"Formação nodular anecoica circunscrita na derme/subcutâneo, com trato conectando à bainha tendínea/articulação. Discreto reforço acústico posterior e vascularização ausente ao Doppler. Achados sugestivos de cisto sinovial."
Dermatologia,Lesão sólida heterogênea,"Formação nodular heterogênea com calcificação periférica determinando sombra acústica posterior, localizada na transição da derme com o subcutâneo.",Vascularização central e periférica ao Doppler.,Achados compatíveis com pilomatricoma.,"Formação nodular heterogênea com calcificação periférica determinando sombra acústica posterior, localizada na transição da derme com o subcutâneo. Vascularização central e periférica ao Doppler. Achados compatíveis com pilomatricoma."
Dermatologia,Lesão dérmica sólida,"Estrutura dérmica hipoecogênica mal definida, com distorção dos folículos pilosos.",Vascularização escassa/intensa ao Doppler.,Achados sugestivos de dermatofibroma.,"Estrutura dérmica hipoecogênica mal definida, com distorção dos folículos pilosos. Vascularização escassa/intensa ao Doppler. Achados sugestivos de dermatofibroma."
Dermatologia,Lesão neural benigna,"Nódulo hipoecoico fusiforme circunscrito, restrito à derme/subcutâneo ou subfascial.",Discreta vascularização interna ao Doppler.,Achados compatíveis com neurofibroma.,"Nódulo hipoecoico fusiforme circunscrito, restrito à derme/subcutâneo ou subfascial. Discreta vascularização interna ao Doppler. Achados compatíveis com neurofibroma."
Dermatologia,Lesão neural benigna,"Lesão nodular bem delimitada, hipoecogênica, encapsulada, excêntrica ao nervo.",Discreta vascularização interna e sinal do alvo.,Achados sugestivos de schwannoma.,"Lesão nodular bem delimitada, hipoecogênica, encapsulada, excêntrica ao nervo. Discreta vascularização interna e sinal do alvo. Achados sugestivos de schwannoma."
Dermatologia,Lesão metastática,"Linfonodo alterado, com espessamento cortical assimétrico ou nodular, hilo deslocado ou ausente.",Vascularização aumentada ao Doppler.,Achados sugestivos de metástase linfonodal.,"Linfonodo alterado, com espessamento cortical assimétrico ou nodular, hilo deslocado ou ausente. Vascularização aumentada ao Doppler. Achados sugestivos de metástase linfonodal."
Dermatologia,Lesão metastática,"Nódulo hipoecogênico com reforço acústico posterior, irregular, com banda hipoecoica periférica.",Vascularização variável ao Doppler.,Achados compatíveis com satelitose ou metástase em trânsito.,"Nódulo hipoecogênico com reforço acústico posterior, irregular, com banda hipoecoica periférica. Vascularização variável ao Doppler. Achados compatíveis com satelitose ou metástase em trânsito."
Dermatologia,Lesão vascular,Estruturas vasculares ectasiadas anecogênicas no subcutâneo.,Fluxo arterial e venoso evidente ao Doppler.,Achados compatíveis com malformação arteriovenosa.,Estruturas vasculares ectasiadas anecogênicas no subcutâneo. Fluxo arterial e venoso evidente ao Doppler. Achados compatíveis com malformação arteriovenosa.
Dermatologia,Lesão inflamatória,"Áreas de espessamento e hipoecogenicidade da derme, perda da interface derme-hipoderme.",Aumento da vascularização ao Doppler.,Achados compatíveis com morfeia.,"Áreas de espessamento e hipoecogenicidade da derme, perda da interface derme-hipoderme. Aumento da vascularização ao Doppler. Achados compatíveis com morfeia."
Dermatologia,Lesão inflamatória,"Espessamento dérmico, hipoecogenicidade difusa.",Aumento da vascularização ao Doppler.,Achados compatíveis com esclerodermia localizada.,"Espessamento dérmico, hipoecogenicidade difusa. Aumento da vascularização ao Doppler. Achados compatíveis com esclerodermia localizada."
Dermatologia,Lesão inflamatória,"Espessamento dérmico com pseudocistos, coleções líquidas e tratos fistulosos.",Aumento da vascularização ao Doppler.,Achados sugestivos de hidradenite supurativa.,"Espessamento dérmico com pseudocistos, coleções líquidas e tratos fistulosos. Aumento da vascularização ao Doppler. Achados sugestivos de hidradenite supurativa."
Dermatologia,Patologia ungueal,Insinuação medial ou lateral da placa ungueal no periníquio.,Espessamento das partes moles e aumento da vascularização ao Doppler.,Achados compatíveis com onicocriptose.,Insinuação medial ou lateral da placa ungueal no periníquio. Espessamento das partes moles e aumento da vascularização ao Doppler. Achados compatíveis com onicocriptose.
Dermatologia,Patologia ungueal,Espessamento da prega proximal ungueal com halo hipoecogênico ao redor da placa ungueal proximal.,Sem vascularização significativa.,Achados sugestivos de retroníquia.,Espessamento da prega proximal ungueal com halo hipoecogênico ao redor da placa ungueal proximal. Sem vascularização significativa. Achados sugestivos de retroníquia.
Dermatologia,Patologia ungueal,Coleção líquida anecoica periungueal.,Aumento da vascularização periférica ao Doppler.,Achados compatíveis com abscesso ungueal.,Coleção líquida anecoica periungueal. Aumento da vascularização periférica ao Doppler. Achados compatíveis com abscesso ungueal.
Dermatologia,Lesão metastática,"Nódulo dérmico ou subcutâneo irregular, hipoecogênico, com reforço acústico posterior e halo inflamatório periférico.","Vascularização variável ao Doppler, podendo haver múltiplas lesões alinhadas ao trajeto linfático.",Achados compatíveis com metástases em trânsito.,"Nódulo dérmico ou subcutâneo irregular, hipoecogênico, com reforço acústico posterior e halo inflamatório periférico. Vascularização variável ao Doppler, podendo haver múltiplas lesões alinhadas ao trajeto linfático. Achados compatíveis com metástases em trânsito."
Dermatologia,Patologia ungueal inflamatória,Espessamento e aumento da ecogenicidade do leito ungueal com perda da definição das interfaces entre a lâmina e o leito.,Aumento da vascularização ao Doppler colorido.,Achados compatíveis com psoríase ungueal.,Espessamento e aumento da ecogenicidade do leito ungueal com perda da definição das interfaces entre a lâmina e o leito. Aumento da vascularização ao Doppler colorido. Achados compatíveis com psoríase ungueal.
Dermatologia,Tumor ungueal benigno,"Lesão nodular sólida, excêntrica, localizada na matriz ungueal, com pontos hiperecogênicos internos.",Fluxo vascular interno escasso ao Doppler.,Achados compatíveis com onicomatricoma.,"Lesão nodular sólida, excêntrica, localizada na matriz ungueal, com pontos hiperecogênicos internos. Fluxo vascular interno escasso ao Doppler. Achados compatíveis com onicomatricoma."
Dermatologia,Depósito de preenchedor permanente,"Depósitos hiperecogênicos lineares ou irregulares na derme e subcutâneo, com artefatos cometiformes e reforço acústico posterior.",Ausência de vascularização interna. Distribuição homogênea ou agrupada.,Achados compatíveis com polimetilmetacrilato.,"Depósitos hiperecogênicos lineares ou irregulares na derme e subcutâneo, com artefatos cometiformes e reforço acústico posterior. Ausência de vascularização interna. Distribuição homogênea ou agrupada. Achados compatíveis com polimetilmetacrilato."
Dermatologia,Lesão cística superficial,"Imagem anecoica, bem delimitada, ovalada, localizada na derme profunda, sem reforço posterior, compatível com cisto epidérmico.",Ausência de vascularização ao Doppler. Compressível à pressão leve.,Achados compatíveis com cisto epidérmico.,"Imagem anecoica, bem delimitada, ovalada, localizada na derme profunda, sem reforço posterior, compatível com cisto epidérmico. Ausência de vascularização ao Doppler. Compressível à pressão leve. Achados compatíveis com cisto epidérmico."
Dermatologia,Lesão sólida hiperecogênica,"Lesão sólida, hiperecogênica, homogênea, bem delimitada, na derme média, medindo 8 x 5 x 4 mm, sem halo ou sombra posterior.",Sem fluxo ao Doppler. Compressível. Localizada na região zigomática.,Provável lipoma subcutâneo superficial.,"Lesão sólida, hiperecogênica, homogênea, bem delimitada, na derme média, medindo 8 x 5 x 4 mm, sem halo ou sombra posterior. Sem fluxo ao Doppler. Compressível. Localizada na região zigomática. Provável lipoma subcutâneo superficial."
Dermatologia,Preenchedor estético,"Material ecogênico em faixa linear, heterogêneo, com reforço posterior discreto, distribuído em plano subcutâneo da região malar.",Sem sinais de inflamação ativa ou coleções adjacentes. Fluxo periférico fisiológico.,"Compatível com ácido hialurônico em distribuição esperada, sem complicações.","Material ecogênico em faixa linear, heterogêneo, com reforço posterior discreto, distribuído em plano subcutâneo da região malar. Sem sinais de inflamação ativa ou coleções adjacentes. Fluxo periférico fisiológico. Compatível com ácido hialurônico em distribuição esperada, sem complicações."
Dermatologia,Tumor cutâneo,"Lesão sólida, hipoecogênica, ovalada, com margens irregulares e halo hipoecogênico periférico, medindo 12 x 7 x 6 mm na derme profunda.",Vascularização central ao Doppler. Localizada no dorso nasal.,Achados suspeitos para carcinoma basocelular. Correlação clínica e histológica recomendadas.,"Lesão sólida, hipoecogênica, ovalada, com margens irregulares e halo hipoecogênico periférico, medindo 12 x 7 x 6 mm na derme profunda. Vascularização central ao Doppler. Localizada no dorso nasal. Achados suspeitos para carcinoma basocelular. Correlação clínica e histológica recomendadas."
Dermatologia,Lesão inflamatória,"Espessamento da derme e hipoderme, com aumento difuso da ecogenicidade, com áreas de heterogeneidade e vascularização aumentada.",Presença de linfonodo reacional submandibular adjacente.,Achados compatíveis com celulite em fase ativa.,"Espessamento da derme e hipoderme, com aumento difuso da ecogenicidade, com áreas de heterogeneidade e vascularização aumentada. Presença de linfonodo reacional submandibular adjacente. Achados compatíveis com celulite em fase ativa."
Dermatologia,Lesão nodular com sombra posterior,"Nódulo sólido, hipoecogênico, irregular, com sombra acústica posterior intensa, medindo 9 x 6 x 5 mm, localizado na região mentoniana.",Fluxo periférico moderado ao Doppler colorido.,"Achados compatíveis com nódulo fibrótico, sugestivo de granuloma por PMMA.","Nódulo sólido, hipoecogênico, irregular, com sombra acústica posterior intensa, medindo 9 x 6 x 5 mm, localizado na região mentoniana. Fluxo periférico moderado ao Doppler colorido. Achados compatíveis com nódulo fibrótico, sugestivo de granuloma por PMMA."
Dermatologia,Complicação de preenchimento,"Área heterogênea mal definida, com múltiplos focos ecogênicos e halo inflamatório adjacente, envolvendo o plano subcutâneo da bochecha direita.",Aumento da vascularização periférica e edema do subcutâneo adjacente.,Achados compatíveis com reação inflamatória tardia a material preenchedor.,"Área heterogênea mal definida, com múltiplos focos ecogênicos e halo inflamatório adjacente, envolvendo o plano subcutâneo da bochecha direita. Aumento da vascularização periférica e edema do subcutâneo adjacente. Achados compatíveis com reação inflamatória tardia a material preenchedor."
Dermatologia,Lesão ungueal,"Espessamento da matriz ungueal, com ecotextura heterogênea e vascularização aumentada ao Doppler.",Base da falange distal preservada. Sem sinais de erosão óssea.,Achados compatíveis com tumor glômico subungueal.,"Espessamento da matriz ungueal, com ecotextura heterogênea e vascularização aumentada ao Doppler. Base da falange distal preservada. Sem sinais de erosão óssea. Achados compatíveis com tumor glômico subungueal."
Dermatologia,Avaliação de retalho cirúrgico,"Retalho cutâneo espessado, com ecotextura heterogênea e áreas císticas centrais. Ecogenicidade reduzida da base do retalho.",Diminuição do fluxo vascular intralesional.,"Achados sugerem sofrimento vascular do retalho, com provável necrose parcial.","Retalho cutâneo espessado, com ecotextura heterogênea e áreas císticas centrais. Ecogenicidade reduzida da base do retalho. Diminuição do fluxo vascular intralesional. Achados sugerem sofrimento vascular do retalho, com provável necrose parcial."
Dermatologia,Dermatose inflamatória crônica,"Espessamento difuso da derme, com padrão em faixa hiperecogênica e zonas hipoecogênicas lineares paralelas à superfície.",Discreta vascularização aumentada ao Doppler.,Achados compatíveis com esclerodermia em fase subaguda.,"Espessamento difuso da derme, com padrão em faixa hiperecogênica e zonas hipoecogênicas lineares paralelas à superfície. Discreta vascularização aumentada ao Doppler. Achados compatíveis com esclerodermia em fase subaguda."
Dermatologia,Malformação linfática,"Lesão multicística, anecoica, com septações finas e espessas, localizada na região cervical posterior.",Ausência de fluxo interno ao Doppler. Compressível à pressão moderada.,Achados compatíveis com malformação linfática macrocística.,"Lesão multicística, anecoica, com septações finas e espessas, localizada na região cervical posterior. Ausência de fluxo interno ao Doppler. Compressível à pressão moderada. Achados compatíveis com malformação linfática macrocística."
Dermatologia,Hemangioma infantil,"Lesão hipoecogênica, sólida, homogênea, com margens lobuladas e fluxo intenso ao Doppler colorido.",Localizada na derme e subcutâneo do couro cabeludo. Medindo 18 x 12 x 8 mm.,Achados compatíveis com hemangioma infantil em fase proliferativa.,"Lesão hipoecogênica, sólida, homogênea, com margens lobuladas e fluxo intenso ao Doppler colorido. Localizada na derme e subcutâneo do couro cabeludo. Medindo 18 x 12 x 8 mm. Achados compatíveis com hemangioma infantil em fase proliferativa."
Dermatologia,Malformação venosa,"Lesão hipoecogênica, compressível, com conteúdo heterogêneo e presença de focos hiperecogênicos internos.",Fluxo lento e multidirecional ao Doppler. Localizada na face lateral da coxa.,Achados compatíveis com malformação venosa de partes moles.,"Lesão hipoecogênica, compressível, com conteúdo heterogêneo e presença de focos hiperecogênicos internos. Fluxo lento e multidirecional ao Doppler. Localizada na face lateral da coxa. Achados compatíveis com malformação venosa de partes moles."
Dermatologia,Dermatose inflamatória crônica,"Espessamento da derme com ecogenicidade heterogênea, presença de bandas hipoecogênicas paralelas e halo inflamatório.",Discreta vascularização difusa ao Doppler.,Achados compatíveis com líquen escleroso em fase crônica.,"Espessamento da derme com ecogenicidade heterogênea, presença de bandas hipoecogênicas paralelas e halo inflamatório. Discreta vascularização difusa ao Doppler. Achados compatíveis com líquen escleroso em fase crônica."
Dermatologia,Dermatose aguda,"Espessamento abrupto da derme e hipoderme, com aumento da ecogenicidade e múltiplas áreas anecoicas lineares.",Acentuada vascularização ao Doppler. Localizada na face dorsal do antebraço.,Achados compatíveis com dermatite de contato aguda.,"Espessamento abrupto da derme e hipoderme, com aumento da ecogenicidade e múltiplas áreas anecoicas lineares. Acentuada vascularização ao Doppler. Localizada na face dorsal do antebraço. Achados compatíveis com dermatite de contato aguda."
Dermatologia,Procedimento guiado - punção de nódulo,"Nódulo sólido subcutâneo, bem delimitado, hipoecogênico, com 9 mm, localizado na região cervical posterior.","Punção realizada com agulha 25G sob orientação ultrassonográfica em tempo real, sem intercorrências.",Procedimento bem-sucedido para coleta de material citopatológico de nódulo subcutâneo.,"Nódulo sólido subcutâneo, bem delimitado, hipoecogênico, com 9 mm, localizado na região cervical posterior. Punção realizada com agulha 25G sob orientação ultrassonográfica em tempo real, sem intercorrências. Procedimento bem-sucedido para coleta de material citopatológico de nódulo subcutâneo."
Dermatologia,Procedimento guiado - drenagem,"Coleção anecoica de 22 x 10 x 8 mm, com reforço posterior e conteúdo fluido homogêneo, em plano subdérmico da bochecha direita.","Drenagem realizada sob anestesia local com agulha 21G, com completa evacuação do conteúdo.","Coleção drenada com sucesso sob orientação ultrassonográfica, sem sinais de complicações imediatas.","Coleção anecoica de 22 x 10 x 8 mm, com reforço posterior e conteúdo fluido homogêneo, em plano subdérmico da bochecha direita. Drenagem realizada sob anestesia local com agulha 21G, com completa evacuação do conteúdo. Coleção drenada com sucesso sob orientação ultrassonográfica, sem sinais de complicações imediatas."
Dermatologia,Complicação estética - nódulo por bioestimulador,"Nódulo hiperecogênico com sombra acústica posterior, de 6 mm, em plano subcutâneo da região zigomática.",Pouca compressibilidade e ausência de vascularização interna ao Doppler.,"Achados compatíveis com nódulo residual por bioestimulador, sem sinais inflamatórios ativos.","Nódulo hiperecogênico com sombra acústica posterior, de 6 mm, em plano subcutâneo da região zigomática. Pouca compressibilidade e ausência de vascularização interna ao Doppler. Achados compatíveis com nódulo residual por bioestimulador, sem sinais inflamatórios ativos."
Dermatologia,Complicação estética - necrose cutânea,"Área heterogênea, mal delimitada, com focos hipoecogênicos e ausência de vascularização superficial.",Pele com espessamento e perda de ecotextura normal. Região perinasal esquerda.,Achados compatíveis com necrose cutânea por complicação vascular tardia de preenchimento.,"Área heterogênea, mal delimitada, com focos hipoecogênicos e ausência de vascularização superficial. Pele com espessamento e perda de ecotextura normal. Região perinasal esquerda. Achados compatíveis com necrose cutânea por complicação vascular tardia de preenchimento."
Dermatologia,Complicação estética - edema tardio,"Espessamento difuso da derme e hipoderme, com aumento da ecogenicidade e áreas anecoicas lineares intercaladas.",Discreta vascularização periférica ao Doppler colorido.,Achados compatíveis com edema inflamatório tardio em região tratada com preenchedor.,"Espessamento difuso da derme e hipoderme, com aumento da ecogenicidade e áreas anecoicas lineares intercaladas. Discreta vascularização periférica ao Doppler colorido. Achados compatíveis com edema inflamatório tardio em região tratada com preenchedor."
Dermatologia,Avaliação de nervo periférico,"Espessamento fusiforme do nervo mentual, com ecotextura heterogênea e perda da diferenciação fascicular.",Presença de vascularização aumentada ao Doppler colorido.,Achados compatíveis com neuropatia periférica inflamatória do nervo mentual.,"Espessamento fusiforme do nervo mentual, com ecotextura heterogênea e perda da diferenciação fascicular. Presença de vascularização aumentada ao Doppler colorido. Achados compatíveis com neuropatia periférica inflamatória do nervo mentual."
Dermatologia,Avaliação de nervo periférico,"Nervo infraorbital espessado, com contornos regulares e ecogenicidade aumentada, sem compressibilidade.",Sem evidência de vascularização intraneural.,Achados sugerem neurite por infiltração de preenchedor adjacente.,"Nervo infraorbital espessado, com contornos regulares e ecogenicidade aumentada, sem compressibilidade. Sem evidência de vascularização intraneural. Achados sugerem neurite por infiltração de preenchedor adjacente."
Dermatologia,Bioestimulador - PLLA,"Imagem hiperecogênica com sombra posterior parcial, mal definida, localizada no subcutâneo da mandíbula.",Discreta reação inflamatória periférica ao Doppler.,Achados compatíveis com acúmulo de ácido poli-L-láctico (PLLA) com reação leve.,"Imagem hiperecogênica com sombra posterior parcial, mal definida, localizada no subcutâneo da mandíbula. Discreta reação inflamatória periférica ao Doppler. Achados compatíveis com acúmulo de ácido poli-L-láctico (PLLA) com reação leve."
Dermatologia,Bioestimulador - Hidroxiapatita,"Material hiperecogênico irregular, com múltiplos focos de sombra acústica posterior, distribuído de forma difusa na região zigomática.",Sem sinais de inflamação ativa ou coleções associadas.,Achados compatíveis com depósito de hidroxiapatita de cálcio sem complicações associadas.,"Material hiperecogênico irregular, com múltiplos focos de sombra acústica posterior, distribuído de forma difusa na região zigomática. Sem sinais de inflamação ativa ou coleções associadas. Achados compatíveis com depósito de hidroxiapatita de cálcio sem complicações associadas."
Dermatologia,Bioestimulador - Policaprolactona,"Material ecogênico, finamente granular, com reforço posterior, presente em plano subdérmico da região temporal.",Sem halo inflamatório ou sinais de extravasamento.,Aspecto ultrassonográfico compatível com policaprolactona em distribuição esperada.,"Material ecogênico, finamente granular, com reforço posterior, presente em plano subdérmico da região temporal. Sem halo inflamatório ou sinais de extravasamento. Aspecto ultrassonográfico compatível com policaprolactona em distribuição esperada."
Dermatologia,PMMA - padrão artefato misto,"Depósitos hiperecogênicos pontilhados em plano subcutâneo, com múltiplos artefatos em 'cauda de cometa' e sombra acústica posterior parcial.","Distribuição irregular na região malar, associada a pequena reação inflamatória periférica ao Doppler.","Achados compatíveis com PMMA em estágio tardio, com padrão misto de artefatos e sinais de reação inflamatória leve.","Depósitos hiperecogênicos pontilhados em plano subcutâneo, com múltiplos artefatos em 'cauda de cometa' e sombra acústica posterior parcial. Distribuição irregular na região malar, associada a pequena reação inflamatória periférica ao Doppler. Achados compatíveis com PMMA em estágio tardio, com padrão misto de artefatos e sinais de reação inflamatória leve."
Dermatologia,Biopolímero - PMMA + Silicone,"Área heterogênea com múltiplos focos hiperecogênicos com artefatos em 'cauda de cometa' e 'tempestade de neve', sem limites precisos.","Localizada no subcutâneo da região glútea, com espessamento difuso e vascularização periférica discreta.","Achados compatíveis com biopolímero de composição mista (PMMA + silicone), sem sinais de complicações agudas.","Área heterogênea com múltiplos focos hiperecogênicos com artefatos em 'cauda de cometa' e 'tempestade de neve', sem limites precisos. Localizada no subcutâneo da região glútea, com espessamento difuso e vascularização periférica discreta. Achados compatíveis com biopolímero de composição mista (PMMA + silicone), sem sinais de complicações agudas."
Dermatologia,Hidrogel - Poliacrilamida,"Imagem anecoica, ovalada, bem delimitada, com reforço posterior, localizada no subcutâneo da bochecha direita.",Subcutâneo adjacente discretamente hiperecogênico. Sem fluxo ao Doppler.,"Achados compatíveis com depósito de poliacrilamida, sem sinais de reação inflamatória ativa.","Imagem anecoica, ovalada, bem delimitada, com reforço posterior, localizada no subcutâneo da bochecha direita. Subcutâneo adjacente discretamente hiperecogênico. Sem fluxo ao Doppler. Achados compatíveis com depósito de poliacrilamida, sem sinais de reação inflamatória ativa."
Dermatologia,Ácido hialurônico - alta densidade,"Imagem anecoica, lobulada, de margens regulares, medindo 12 x 8 x 6 mm, localizada profundamente na região mentoniana.",Sem debris internos. Discreta vascularização periférica.,"Achados compatíveis com ácido hialurônico de alta densidade, com padrão de depósito profundo e íntegro.","Imagem anecoica, lobulada, de margens regulares, medindo 12 x 8 x 6 mm, localizada profundamente na região mentoniana. Sem debris internos. Discreta vascularização periférica. Achados compatíveis com ácido hialurônico de alta densidade, com padrão de depósito profundo e íntegro."
Dermatologia,Ácido hialurônico - com lidocaína,"Imagem anecoica com múltiplos focos hiperecoicos móveis em seu interior, com reforço posterior.",Localizada no subcutâneo da região nasogeniana. Compressível e sem fluxo interno.,"Achados compatíveis com ácido hialurônico associado à lidocaína, com presença de microbolhas internas.","Imagem anecoica com múltiplos focos hiperecoicos móveis em seu interior, com reforço posterior. Localizada no subcutâneo da região nasogeniana. Compressível e sem fluxo interno. Achados compatíveis com ácido hialurônico associado à lidocaína, com presença de microbolhas internas."
Dermatologia,Hidroxiapatita de cálcio - padrão em nuvem,"Área hiperecogênica difusa em padrão em nuvem, com múltiplas sombras acústicas finas e artefatos de reverberação posterior.","Localizada na região zigomática, sem sinais de inflamação.",Achados compatíveis com hidroxiapatita de cálcio distribuída em padrão típico em nuvem.,"Área hiperecogênica difusa em padrão em nuvem, com múltiplas sombras acústicas finas e artefatos de reverberação posterior. Localizada na região zigomática, sem sinais de inflamação. Achados compatíveis com hidroxiapatita de cálcio distribuída em padrão típico em nuvem."
Dermatologia,PEG (polietilenoglicol),"Imagem hipoecogênica, lobulada, bem delimitada, com reforço posterior discreto, medindo 10 x 7 x 4 mm.",Localizada no plano subcutâneo da região temporal. Sem vascularização ao Doppler.,"Achados compatíveis com depósito de polietilenoglicol (PEG), sem complicações associadas.","Imagem hipoecogênica, lobulada, bem delimitada, com reforço posterior discreto, medindo 10 x 7 x 4 mm. Localizada no plano subcutâneo da região temporal. Sem vascularização ao Doppler. Achados compatíveis com depósito de polietilenoglicol (PEG), sem complicações associadas."
Dermatologia,Reconhecimento anatômico - plano de preenchimento,"Preenchedor localizado predominantemente no plano supraperiostal, bem delimitado, sem sinais de extravasamento para planos superficiais.","Distribuição simétrica na região zigomática, sem compressão de estruturas vasculares adjacentes.","Preenchimento adequado ao plano anatômico profundo, com distribuição homogênea e segura.","Preenchedor localizado predominantemente no plano supraperiostal, bem delimitado, sem sinais de extravasamento para planos superficiais. Distribuição simétrica na região zigomática, sem compressão de estruturas vasculares adjacentes. Preenchimento adequado ao plano anatômico profundo, com distribuição homogênea e segura."
Dermatologia,Efeito volumizador - terço médio da face,"Volume aumentado em região malar com padrão anecoico lobulado, medindo 18 x 12 x 8 mm, em plano subcutâneo profundo.",Preservação das interfaces fasciais e da drenagem linfática superficial.,"Achados compatíveis com volumização estética do terço médio, sem alterações funcionais associadas.","Volume aumentado em região malar com padrão anecoico lobulado, medindo 18 x 12 x 8 mm, em plano subcutâneo profundo. Preservação das interfaces fasciais e da drenagem linfática superficial. Achados compatíveis com volumização estética do terço médio, sem alterações funcionais associadas."
