módulo,tipo,descrição,complementos,conclusão,frase completa
Dermatologia,Efeito lift com preservação de planos,Reforço das estruturas da fáscia superficial com evidência de preenchimento linear denso ao longo do SMAS.,Sem sinais de invasão muscular ou edema subjacente.,"Achados compatíveis com técnica de efeito lift superficial, respeitando os planos anatômicos.","Reforço das estruturas da fáscia superficial com evidência de preenchimento linear denso ao longo do SMAS. Sem sinais de invasão muscular ou edema subjacente. Achados compatíveis com técnica de efeito lift superficial, respeitando os planos anatômicos."
Dermatologia,Modificação muscular - pós toxina botulínica,"Redução da espessura do músculo frontal, com ecotextura preservada e ausência de ativação ao movimento voluntário observado em tempo real.",Simetria entre os lados. Sem áreas de fibrose.,Achados compatíveis com ação funcional da toxina botulínica em músculo frontal.,"Redução da espessura do músculo frontal, com ecotextura preservada e ausência de ativação ao movimento voluntário observado em tempo real. Simetria entre os lados. Sem áreas de fibrose. Achados compatíveis com ação funcional da toxina botulínica em músculo frontal."
Dermatologia,Documentação pós-procedimento - preenchimento zigomático,"Material anecoico homogêneo, bem distribuído, em plano subcutâneo profundo na região zigomática.","Sem coleções, nódulos ou artefatos de sombra. Vascularização periférica preservada.",Achados compatíveis com preenchimento recente sem complicações associadas.,"Material anecoico homogêneo, bem distribuído, em plano subcutâneo profundo na região zigomática. Sem coleções, nódulos ou artefatos de sombra. Vascularização periférica preservada. Achados compatíveis com preenchimento recente sem complicações associadas."
Dermatologia,Cisto triquilemal,"Lesão subcutânea ovalada, com conteúdo heterogêneo hipoecogênico e focos hiperecogênicos internos, medindo 20 x 12 x 10 mm.","Paredes espessas, bem delimitadas, com sombra acústica posterior discreta. Localizada na região occipital.",Achados compatíveis com cisto triquilemal (pilar).,"Lesão subcutânea ovalada, com conteúdo heterogêneo hipoecogênico e focos hiperecogênicos internos, medindo 20 x 12 x 10 mm. Paredes espessas, bem delimitadas, com sombra acústica posterior discreta. Localizada na região occipital. Achados compatíveis com cisto triquilemal (pilar)."
Dermatologia,Cisto dermoide,"Lesão hipoecogênica ovalada, de contornos regulares, com áreas ecogênicas internas correspondentes a fragmentos pilosos.","Localizada na linha média da testa, adjacente ao osso frontal, com discreta remodelação cortical subjacente.",Achados compatíveis com cisto dermoide.,"Lesão hipoecogênica ovalada, de contornos regulares, com áreas ecogênicas internas correspondentes a fragmentos pilosos. Localizada na linha média da testa, adjacente ao osso frontal, com discreta remodelação cortical subjacente. Achados compatíveis com cisto dermoide."
Dermatologia,Pilomatrixoma,"Lesão subcutânea sólida, hiperecogênica, com sombra acústica posterior intensa, medindo 13 x 8 x 6 mm.",Localizada na região pré-auricular. Sem vascularização ao Doppler.,Achados compatíveis com pilomatrixoma.,"Lesão subcutânea sólida, hiperecogênica, com sombra acústica posterior intensa, medindo 13 x 8 x 6 mm. Localizada na região pré-auricular. Sem vascularização ao Doppler. Achados compatíveis com pilomatrixoma."
Abdome Geral,Fígado - normal,"Fígado com dimensões dentro dos limites da normalidade, contornos regulares e ecotextura homogênea.",Parênquima com ecogenicidade preservada e sem evidências de lesões focais.,Fígado sem alterações ultrassonográficas.,"Fígado com dimensões dentro dos limites da normalidade, contornos regulares e ecotextura homogênea. Parênquima com ecogenicidade preservada e sem evidências de lesões focais. Fígado sem alterações ultrassonográficas."
Abdome Geral,Fígado - esteatose leve,"Aumento difuso da ecogenicidade hepática, com leve atenuação posterior do feixe sonoro.",Preservação da visualização dos vasos intra-hepáticos.,Achados compatíveis com esteatose hepática leve.,"Aumento difuso da ecogenicidade hepática, com leve atenuação posterior do feixe sonoro. Preservação da visualização dos vasos intra-hepáticos. Achados compatíveis com esteatose hepática leve."
Abdome Geral,Fígado - esteatose moderada,"Ecogenicidade hepática moderadamente aumentada, com atenuação parcial do feixe e definição reduzida dos vasos porta.",Volume hepático preservado.,Achados compatíveis com esteatose hepática moderada.,"Ecogenicidade hepática moderadamente aumentada, com atenuação parcial do feixe e definição reduzida dos vasos porta. Volume hepático preservado. Achados compatíveis com esteatose hepática moderada."
Abdome Geral,Fígado - esteatose severa,Marcado aumento da ecogenicidade hepática com perda da definição do parênquima profundo e das veias hepáticas.,"Fígado aumentado em tamanho, com contornos ainda regulares.",Achados compatíveis com esteatose hepática severa.,"Marcado aumento da ecogenicidade hepática com perda da definição do parênquima profundo e das veias hepáticas. Fígado aumentado em tamanho, com contornos ainda regulares. Achados compatíveis com esteatose hepática severa."
Abdome Geral,Fígado - hepatomegalia,"Fígado com volume aumentado, medindo 19,2 cm em linha axilar média direita.","Ecotextura homogênea, sem lesões focais identificadas.",Hepatomegalia com parênquima preservado.,"Fígado com volume aumentado, medindo 19,2 cm em linha axilar média direita. Ecotextura homogênea, sem lesões focais identificadas. Hepatomegalia com parênquima preservado."
Abdome Geral,Fígado - hemangioma típico,"Lesão nodular hiperecogênica, homogênea, bem delimitada, medindo 12 x 9 mm, no segmento VII hepático.",Sem sombra acústica ou fluxo ao Doppler.,Achados compatíveis com hemangioma hepático típico.,"Lesão nodular hiperecogênica, homogênea, bem delimitada, medindo 12 x 9 mm, no segmento VII hepático. Sem sombra acústica ou fluxo ao Doppler. Achados compatíveis com hemangioma hepático típico."
Abdome Geral,Fígado - cisto simples,"Imagem anecoica, bem definida, com reforço acústico posterior, medindo 16 x 14 mm no segmento II do fígado.",Sem septações ou conteúdo interno.,Achados compatíveis com cisto hepático simples.,"Imagem anecoica, bem definida, com reforço acústico posterior, medindo 16 x 14 mm no segmento II do fígado. Sem septações ou conteúdo interno. Achados compatíveis com cisto hepático simples."
Abdome Geral,Fígado - nódulo hipoecogênico,"Imagem nodular hipoecogênica, ovalada, de margens regulares, medindo 18 x 14 mm no segmento VI hepático.",Sem fluxo ao Doppler. Necessita correlação com exames complementares.,Nódulo hepático indeterminado.,"Imagem nodular hipoecogênica, ovalada, de margens regulares, medindo 18 x 14 mm no segmento VI hepático. Sem fluxo ao Doppler. Necessita correlação com exames complementares. Nódulo hepático indeterminado."
Abdome Geral,Fígado - colaterais peri-hepáticas,"Visualização de vasos ectasiados adjacentes ao hilo hepático, com fluxo hepatofugal ao Doppler.",Fígado com contornos irregulares e ecotextura heterogênea.,Achados compatíveis com hipertensão portal e hepatopatia crônica.,"Visualização de vasos ectasiados adjacentes ao hilo hepático, com fluxo hepatofugal ao Doppler. Fígado com contornos irregulares e ecotextura heterogênea. Achados compatíveis com hipertensão portal e hepatopatia crônica."
Abdome Geral,Fígado - sinais de cirrose,"Fígado com contornos nodulares, parênquima heterogêneo e volume reduzido do lobo direito.",Lobo caudado proporcionalmente aumentado. Presença de colaterais peri-hepáticas.,Achados compatíveis com hepatopatia crônica com sinais de cirrose hepática.,"Fígado com contornos nodulares, parênquima heterogêneo e volume reduzido do lobo direito. Lobo caudado proporcionalmente aumentado. Presença de colaterais peri-hepáticas. Achados compatíveis com hepatopatia crônica com sinais de cirrose hepática."
Abdome Geral,Fígado - hepatopatia crônica sem cirrose,"Fígado com contornos levemente irregulares e parênquima discretamente heterogêneo, sem nódulos regenerativos evidentes.",Volume hepático preservado. Sem sinais de hipertensão portal.,"Achados compatíveis com hepatopatia crônica leve, sem sinais de cirrose.","Fígado com contornos levemente irregulares e parênquima discretamente heterogêneo, sem nódulos regenerativos evidentes. Volume hepático preservado. Sem sinais de hipertensão portal. Achados compatíveis com hepatopatia crônica leve, sem sinais de cirrose."
Abdome Geral,Fígado - atrofia lobar direita,"Redução volumétrica do lobo hepático direito, com hipertrofia compensatória do lobo esquerdo e do lobo caudado.",Contornos nodulares e ecotextura heterogênea do parênquima hepático.,Achados indicativos de atrofia do lobo direito em contexto de hepatopatia crônica.,"Redução volumétrica do lobo hepático direito, com hipertrofia compensatória do lobo esquerdo e do lobo caudado. Contornos nodulares e ecotextura heterogênea do parênquima hepático. Achados indicativos de atrofia do lobo direito em contexto de hepatopatia crônica."
Abdome Geral,Fígado - hepatomegalia à custa do lobo esquerdo,"Aumento volumétrico do lobo hepático esquerdo, ultrapassando a linha média.",Ecotextura preservada. Lobo direito com volume habitual.,"Hepatomegalia à custa do lobo esquerdo, sem lesões focais.","Aumento volumétrico do lobo hepático esquerdo, ultrapassando a linha média. Ecotextura preservada. Lobo direito com volume habitual. Hepatomegalia à custa do lobo esquerdo, sem lesões focais."
Abdome Geral,Fígado - fluxo portal hepatofugal,Fluxo venoso portal com direção reversa (hepatofugal) ao estudo Doppler espectral.,Presença de colaterais peri-hepáticas e esplênicas.,Achados compatíveis com hipertensão portal com inversão do fluxo portal.,Fluxo venoso portal com direção reversa (hepatofugal) ao estudo Doppler espectral. Presença de colaterais peri-hepáticas e esplênicas. Achados compatíveis com hipertensão portal com inversão do fluxo portal.
Abdome Geral,Fígado - recanalização do ligamento umbilical,Visualização de vaso anômalo calibroso em direção ao ligamento redondo com fluxo hepatofugal.,Fígado com sinais de hepatopatia crônica e colaterais associadas.,Achados compatíveis com recanalização do ligamento umbilical por hipertensão portal.,Visualização de vaso anômalo calibroso em direção ao ligamento redondo com fluxo hepatofugal. Fígado com sinais de hepatopatia crônica e colaterais associadas. Achados compatíveis com recanalização do ligamento umbilical por hipertensão portal.
Abdome Geral,Fígado - metástase hepática única,"Lesão hipoecogênica com halo periférico, medindo 24 x 18 mm, localizada no segmento VIII hepático.",Fluxo periférico ao Doppler. Contornos discretamente irregulares.,Achados compatíveis com metástase hepática única.,"Lesão hipoecogênica com halo periférico, medindo 24 x 18 mm, localizada no segmento VIII hepático. Fluxo periférico ao Doppler. Contornos discretamente irregulares. Achados compatíveis com metástase hepática única."
Abdome Geral,Fígado - múltiplas metástases,Múltiplas lesões hipoecogênicas arredondadas distribuídas em ambos os lobos hepáticos.,"Com ou sem halo hipoecogênico, variando entre 10 e 28 mm.",Achados compatíveis com múltiplas metástases hepáticas.,"Múltiplas lesões hipoecogênicas arredondadas distribuídas em ambos os lobos hepáticos. Com ou sem halo hipoecogênico, variando entre 10 e 28 mm. Achados compatíveis com múltiplas metástases hepáticas."
Abdome Geral,Fígado - HCC típico,"Lesão sólida heterogênea com fluxo arterial central ao Doppler colorido, medindo 38 x 32 mm.","Localizada no lobo direito, com contornos parcialmente definidos.",Achados compatíveis com hepatocarcinoma (HCC).,"Lesão sólida heterogênea com fluxo arterial central ao Doppler colorido, medindo 38 x 32 mm. Localizada no lobo direito, com contornos parcialmente definidos. Achados compatíveis com hepatocarcinoma (HCC)."
Abdome Geral,Fígado - cisto com septações,"Imagem anecoica, de contornos regulares, com septações finas em seu interior, medindo 22 x 20 mm.",Sem vascularização interna. Reforço posterior presente.,Achados compatíveis com cisto hepático com septações finas.,"Imagem anecoica, de contornos regulares, com septações finas em seu interior, medindo 22 x 20 mm. Sem vascularização interna. Reforço posterior presente. Achados compatíveis com cisto hepático com septações finas."
Abdome Geral,Fígado - cisto complexo,"Imagem hipoecogênica com conteúdo espesso e focos hiperecogênicos internos, com reforço posterior incompleto.",Localizado no segmento IV. Sem fluxo ao Doppler.,Achados compatíveis com cisto hepático complexo.,"Imagem hipoecogênica com conteúdo espesso e focos hiperecogênicos internos, com reforço posterior incompleto. Localizado no segmento IV. Sem fluxo ao Doppler. Achados compatíveis com cisto hepático complexo."
Abdome Geral,Fígado - hepatectomia parcial,"Redução volumétrica hepática compatível com hepatectomia parcial prévia, sem lesões residuais visíveis.",Contornos cirúrgicos identificáveis. Ecotextura hepática homogênea.,Achados compatíveis com hepatectomia parcial com parênquima remanescente preservado.,"Redução volumétrica hepática compatível com hepatectomia parcial prévia, sem lesões residuais visíveis. Contornos cirúrgicos identificáveis. Ecotextura hepática homogênea. Achados compatíveis com hepatectomia parcial com parênquima remanescente preservado."
Abdome Geral,Fígado - transplante hepático,"Fígado com ecotextura homogênea, dimensões normais e anastomoses vasculares identificáveis.",Sem sinais de trombose portal ou hepática. Via biliar principal não dilatada.,Transplante hepático com parênquima preservado e anastomoses pérvias.,"Fígado com ecotextura homogênea, dimensões normais e anastomoses vasculares identificáveis. Sem sinais de trombose portal ou hepática. Via biliar principal não dilatada. Transplante hepático com parênquima preservado e anastomoses pérvias."
Abdome Geral,Fígado - nódulo com halo periférico,"Imagem nodular hipoecogênica com halo periférico hipoecogênico, medindo 22 x 19 mm no segmento IVa.",Contornos regulares. Sem fluxo central ao Doppler.,"Achados compatíveis com nódulo hepático com halo periférico, sugestivo de metástase.","Imagem nodular hipoecogênica com halo periférico hipoecogênico, medindo 22 x 19 mm no segmento IVa. Contornos regulares. Sem fluxo central ao Doppler. Achados compatíveis com nódulo hepático com halo periférico, sugestivo de metástase."
Abdome Geral,Fígado - nódulo isoecoico indeterminado,"Imagem nodular isoecoica de difícil delimitação, detectada por leve distorção arquitetural no segmento VII.","Visualizada com auxílio do Doppler colorido, sem fluxo interno evidente.",Nódulo hepático isoecoico indeterminado. Recomendada correlação com exames complementares.,"Imagem nodular isoecoica de difícil delimitação, detectada por leve distorção arquitetural no segmento VII. Visualizada com auxílio do Doppler colorido, sem fluxo interno evidente. Nódulo hepático isoecoico indeterminado. Recomendada correlação com exames complementares."
Abdome Geral,Fígado - achados sugestivos de hepatite aguda,"Fígado discretamente aumentado, com parênquima hipoecogênico e textura ligeiramente heterogênea.",Ecogenicidade do fígado inferior à do córtex renal. Vasos porta visualizados com discreta perda de definição.,Achados sugestivos de hepatite viral aguda.,"Fígado discretamente aumentado, com parênquima hipoecogênico e textura ligeiramente heterogênea. Ecogenicidade do fígado inferior à do córtex renal. Vasos porta visualizados com discreta perda de definição. Achados sugestivos de hepatite viral aguda."
Abdome Geral,Fígado - lobo de Riedel,"Prolongamento caudal do lobo hepático direito, com ecotextura homogênea e sem alterações focais.","Configuração anatômica variante, sem repercussões clínicas.",Achados compatíveis com lobo de Riedel.,"Prolongamento caudal do lobo hepático direito, com ecotextura homogênea e sem alterações focais. Configuração anatômica variante, sem repercussões clínicas. Achados compatíveis com lobo de Riedel."
Abdome Geral,Fígado - redução da velocidade na artéria hepática (transplante),Fluxo de baixa velocidade e índice de resistência reduzido na artéria hepática ao estudo Doppler.,Transplante hepático recente. Sem sinais de trombose ou estenose evidente.,Achados que podem estar relacionados a rejeição aguda do enxerto hepático. Recomendada correlação clínica.,Fluxo de baixa velocidade e índice de resistência reduzido na artéria hepática ao estudo Doppler. Transplante hepático recente. Sem sinais de trombose ou estenose evidente. Achados que podem estar relacionados a rejeição aguda do enxerto hepático. Recomendada correlação clínica.
Abdome Geral,Vesícula biliar - normal,"Vesícula biliar com forma e dimensões habituais, paredes finas e conteúdo anecoico.",Sem evidências de cálculos ou espessamento parietal.,Vesícula biliar sem alterações ultrassonográficas.,"Vesícula biliar com forma e dimensões habituais, paredes finas e conteúdo anecoico. Sem evidências de cálculos ou espessamento parietal. Vesícula biliar sem alterações ultrassonográficas."
Abdome Geral,Vesícula biliar - colelitíase única,"Imagem hiperecogênica única com sombra acústica posterior, móvel à mudança de decúbito.","Localizada no interior da vesícula biliar, sem espessamento da parede.",Achados compatíveis com cálculo único em vesícula biliar.,"Imagem hiperecogênica única com sombra acústica posterior, móvel à mudança de decúbito. Localizada no interior da vesícula biliar, sem espessamento da parede. Achados compatíveis com cálculo único em vesícula biliar."
Abdome Geral,Vesícula biliar - múltiplos cálculos,"Múltiplas imagens hiperecogênicas com sombras acústicas posteriores, móveis com decúbito.","Conteúdo biliar parcialmente preenchido por cálculos, sem sinais inflamatórios.",Colelitíase múltipla em vesícula biliar.,"Múltiplas imagens hiperecogênicas com sombras acústicas posteriores, móveis com decúbito. Conteúdo biliar parcialmente preenchido por cálculos, sem sinais inflamatórios. Colelitíase múltipla em vesícula biliar."
Abdome Geral,Vesícula biliar - lama biliar,"Material ecogênico fino em decúbito dependente, sem sombra acústica posterior.",Distribuição móvel à mudança de decúbito. Paredes vesiculares normais.,Achados compatíveis com bile espessada (lama biliar).,"Material ecogênico fino em decúbito dependente, sem sombra acústica posterior. Distribuição móvel à mudança de decúbito. Paredes vesiculares normais. Achados compatíveis com bile espessada (lama biliar)."
Abdome Geral,Vesícula biliar - colecistite aguda,Vesícula distendida com espessamento parietal difuso e cálculos impactados no infundíbulo.,Sinal de Murphy ultrassonográfico positivo. Halo pericolecístico discreto.,Achados compatíveis com colecistite aguda.,Vesícula distendida com espessamento parietal difuso e cálculos impactados no infundíbulo. Sinal de Murphy ultrassonográfico positivo. Halo pericolecístico discreto. Achados compatíveis com colecistite aguda.
Abdome Geral,Vesícula biliar - pólipo,"Imagem hiperecogênica sésil, arredondada, medindo 5 mm, aderida à parede vesicular posterior.",Sem sombra acústica ou mobilidade à mudança de decúbito.,"Achados compatíveis com pólipo vesicular único, menor que 10 mm.","Imagem hiperecogênica sésil, arredondada, medindo 5 mm, aderida à parede vesicular posterior. Sem sombra acústica ou mobilidade à mudança de decúbito. Achados compatíveis com pólipo vesicular único, menor que 10 mm."
Abdome Geral,Vesícula biliar - adenomiomatose,Espessamento focal da parede vesicular com múltiplos focos hiperecogênicos e artefatos em 'comet tail'.,Sem colelitíase associada. Conteúdo biliar anecoico.,Achados compatíveis com adenomiomatose vesicular.,Espessamento focal da parede vesicular com múltiplos focos hiperecogênicos e artefatos em 'comet tail'. Sem colelitíase associada. Conteúdo biliar anecoico. Achados compatíveis com adenomiomatose vesicular.
Abdome Geral,Vesícula biliar - escleroatrófica,"Vesícula de paredes espessadas e irregulares, com conteúdo ecogênico amorfo e cálculos impactados.",Difícil colabamento à compressão. Tamanho reduzido.,Vesícula biliar escleroatrófica com sinais de colecistopatia crônica.,"Vesícula de paredes espessadas e irregulares, com conteúdo ecogênico amorfo e cálculos impactados. Difícil colabamento à compressão. Tamanho reduzido. Vesícula biliar escleroatrófica com sinais de colecistopatia crônica."
Abdome Geral,Vesícula biliar - vesícula ausente,Não se identifica vesícula biliar na topografia habitual.,Achado compatível com colecistectomia prévia.,Ausência de vesícula biliar por antecedente cirúrgico (colecistectomia).,Não se identifica vesícula biliar na topografia habitual. Achado compatível com colecistectomia prévia. Ausência de vesícula biliar por antecedente cirúrgico (colecistectomia).
Abdome Geral,Vesícula biliar - colecistite alitiásica,"Vesícula distendida com espessamento parietal e líquido pericolecístico, sem evidência de cálculo.",Sinal de Murphy ultrassonográfico positivo. Halo hipoecogênico perivesicular.,Achados compatíveis com colecistite aguda alitiásica.,"Vesícula distendida com espessamento parietal e líquido pericolecístico, sem evidência de cálculo. Sinal de Murphy ultrassonográfico positivo. Halo hipoecogênico perivesicular. Achados compatíveis com colecistite aguda alitiásica."
Abdome Geral,Vesícula biliar - sinais de perfuração,Espessamento irregular da parede vesicular com descontinuidade focal e coleção pericolecística adjacente.,Conteúdo biliar com debris ecogênicos e gás intraluminal.,Achados compatíveis com perfuração vesicular em complicação de colecistite aguda.,Espessamento irregular da parede vesicular com descontinuidade focal e coleção pericolecística adjacente. Conteúdo biliar com debris ecogênicos e gás intraluminal. Achados compatíveis com perfuração vesicular em complicação de colecistite aguda.
Abdome Geral,Vesícula biliar - espessamento parietal sem cálculo,"Espessamento difuso da parede vesicular, medindo até 5 mm, sem evidência de cálculo ou conteúdo ecogênico intraluminal.","Vesícula com dimensões normais. Pode ocorrer em contexto de hepatopatia crônica, ICC ou sepse.","Espessamento parietal da vesícula biliar, inespecífico, com possível causa sistêmica.","Espessamento difuso da parede vesicular, medindo até 5 mm, sem evidência de cálculo ou conteúdo ecogênico intraluminal. Vesícula com dimensões normais. Pode ocorrer em contexto de hepatopatia crônica, ICC ou sepse. Espessamento parietal da vesícula biliar, inespecífico, com possível causa sistêmica."
Abdome Geral,Vesícula biliar - espessamento focal da parede,"Espessamento focal da parede posterior da vesícula, sem alteração do restante do contorno vesicular.",Sem evidência de cálculo ou conteúdo ecogênico. Doppler sem fluxo local.,"Achado inespecífico, podendo corresponder a alteração focal benigna ou início de processo inflamatório.","Espessamento focal da parede posterior da vesícula, sem alteração do restante do contorno vesicular. Sem evidência de cálculo ou conteúdo ecogênico. Doppler sem fluxo local. Achado inespecífico, podendo corresponder a alteração focal benigna ou início de processo inflamatório."
Abdome Geral,Vesícula biliar - conteúdo espesso sem sombra,"Conteúdo ecogênico espesso, amorfo, não móvel e sem sombra acústica posterior no interior da vesícula.",Parede vesicular sem espessamento significativo. Sem sinal de Murphy ultrassonográfico.,"Achado compatível com material biliar espesso, sem evidência de colelitíase.","Conteúdo ecogênico espesso, amorfo, não móvel e sem sombra acústica posterior no interior da vesícula. Parede vesicular sem espessamento significativo. Sem sinal de Murphy ultrassonográfico. Achado compatível com material biliar espesso, sem evidência de colelitíase."
Abdome Geral,Vesícula biliar - gás intraluminal (colecistite enfisematosa),Presença de focos hiperecogênicos com sombra reverberante e artefatos em 'dirty shadow' no interior da vesícula.,Associados a espessamento parietal e conteúdo denso. Diagnóstico diferencial com colecistite enfisematosa.,Achados compatíveis com gás intraluminal em provável colecistite enfisematosa.,Presença de focos hiperecogênicos com sombra reverberante e artefatos em 'dirty shadow' no interior da vesícula. Associados a espessamento parietal e conteúdo denso. Diagnóstico diferencial com colecistite enfisematosa. Achados compatíveis com gás intraluminal em provável colecistite enfisematosa.
Abdome Geral,Vesícula biliar - aparência septada,"Vesícula biliar com fina(s) linha(s) hiperecogênicas internas, sugerindo septações incompletas ou dobras parietais.",Sem espessamento da parede ou evidência de cálculo. Conteúdo biliar anecoico.,"Achado compatível com vesícula biliar aparentemente septada, variante anatômica benigna.","Vesícula biliar com fina(s) linha(s) hiperecogênicas internas, sugerindo septações incompletas ou dobras parietais. Sem espessamento da parede ou evidência de cálculo. Conteúdo biliar anecoico. Achado compatível com vesícula biliar aparentemente septada, variante anatômica benigna."
Abdome Geral,Pâncreas - normal,"Pâncreas com dimensões habituais, contornos regulares e ecotextura homogênea.",Sem dilatação ductal ou lesões focais visíveis.,Pâncreas sem alterações ultrassonográficas.,"Pâncreas com dimensões habituais, contornos regulares e ecotextura homogênea. Sem dilatação ductal ou lesões focais visíveis. Pâncreas sem alterações ultrassonográficas."
Abdome Geral,Pâncreas - esteatose pancreática,"Ecogenicidade do parênquima pancreático aumentada difusamente, comparável à gordura peripancreática.",Contornos preservados. Sem dilatação ductal.,Achados compatíveis com esteatose pancreática.,"Ecogenicidade do parênquima pancreático aumentada difusamente, comparável à gordura peripancreática. Contornos preservados. Sem dilatação ductal. Achados compatíveis com esteatose pancreática."
Abdome Geral,Pâncreas - pancreatite aguda,"Pâncreas aumentado, com ecotextura heterogênea e contornos pouco definidos.",Discreto líquido peripancreático e dilatação leve do ducto pancreático principal.,Achados compatíveis com pancreatite aguda.,"Pâncreas aumentado, com ecotextura heterogênea e contornos pouco definidos. Discreto líquido peripancreático e dilatação leve do ducto pancreático principal. Achados compatíveis com pancreatite aguda."
Abdome Geral,Pâncreas - pancreatite crônica,Parênquima heterogêneo com calcificações puntiformes e dilatação irregular do ducto pancreático.,Contornos irregulares e atrofia glandular difusa.,Achados compatíveis com pancreatite crônica.,Parênquima heterogêneo com calcificações puntiformes e dilatação irregular do ducto pancreático. Contornos irregulares e atrofia glandular difusa. Achados compatíveis com pancreatite crônica.
Abdome Geral,Pâncreas - dilatação ductal,"Ducto pancreático principal visibilizado com calibre aumentado, medindo 4,5 mm na região corporal.",Parênquima com ecotextura preservada.,Dilatação do ducto pancreático principal.,"Ducto pancreático principal visibilizado com calibre aumentado, medindo 4,5 mm na região corporal. Parênquima com ecotextura preservada. Dilatação do ducto pancreático principal."
