módulo,tipo,descrição,complementos,conclusão,frase completa
Abdome Geral,Pâncreas - atrofia,"Redução difusa do volume pancreático, com ecotextura heterogênea e contornos afilados.",Sem dilatação do ducto. Presença de calcificações isoladas.,Achados compatíveis com atrofia pancreática.,"Redução difusa do volume pancreático, com ecotextura heterogênea e contornos afilados. Sem dilatação do ducto. Presença de calcificações isoladas. Achados compatíveis com atrofia pancreática."
Abdome Geral,Pâncreas - cisto simples,"Imagem anecoica arredondada, com contornos regulares e reforço posterior, medindo 12 x 10 mm.",Localizada no corpo pancreático. Sem septações ou fluxo ao Doppler.,Achados compatíveis com cisto pancreático simples.,"Imagem anecoica arredondada, com contornos regulares e reforço posterior, medindo 12 x 10 mm. Localizada no corpo pancreático. Sem septações ou fluxo ao Doppler. Achados compatíveis com cisto pancreático simples."
Abdome Geral,Pâncreas - cisto complexo,"Imagem hipoecogênica com conteúdo espesso e septações internas finas, medindo 24 x 20 mm.",Localizada na cauda pancreática. Sem vascularização ao Doppler.,Achados compatíveis com cisto pancreático complexo.,"Imagem hipoecogênica com conteúdo espesso e septações internas finas, medindo 24 x 20 mm. Localizada na cauda pancreática. Sem vascularização ao Doppler. Achados compatíveis com cisto pancreático complexo."
Abdome Geral,Pâncreas - lesão sólida indeterminada,"Nódulo sólido hipoecogênico, ovalado, com margens bem definidas, medindo 18 x 15 mm na cabeça pancreática.",Sem calcificações ou vascularização interna evidente.,Achado indeterminado. Sugerida correlação com métodos complementares.,"Nódulo sólido hipoecogênico, ovalado, com margens bem definidas, medindo 18 x 15 mm na cabeça pancreática. Sem calcificações ou vascularização interna evidente. Achado indeterminado. Sugerida correlação com métodos complementares."
Abdome Geral,Pâncreas - dilatação do ducto com atrofia,"Ducto pancreático principal dilatado, medindo 5,2 mm, com redução difusa do volume pancreático.",Contornos afilados e ecotextura levemente heterogênea.,Achados compatíveis com atrofia pancreática com dilatação ductal.,"Ducto pancreático principal dilatado, medindo 5,2 mm, com redução difusa do volume pancreático. Contornos afilados e ecotextura levemente heterogênea. Achados compatíveis com atrofia pancreática com dilatação ductal."
Abdome Geral,Pâncreas - coleção peripancreática,"Coleção anecoica de contornos irregulares, localizada adjacente à cauda pancreática.",Medindo 34 x 20 mm. Sem debris internos visíveis.,Achados compatíveis com coleção peripancreática pós-pancreatite.,"Coleção anecoica de contornos irregulares, localizada adjacente à cauda pancreática. Medindo 34 x 20 mm. Sem debris internos visíveis. Achados compatíveis com coleção peripancreática pós-pancreatite."
Abdome Geral,Pâncreas - necrose pancreática,"Áreas heterogêneas não perfundidas dentro do parênquima pancreático, com contornos mal definidos.",Associadas a discreto líquido peripancreático.,Achados compatíveis com necrose pancreática.,"Áreas heterogêneas não perfundidas dentro do parênquima pancreático, com contornos mal definidos. Associadas a discreto líquido peripancreático. Achados compatíveis com necrose pancreática."
Abdome Geral,Pâncreas - neoplasia sólida,"Massa hipoecogênica irregular na cabeça pancreática, medindo 32 x 24 mm, com vascularização interna ao Doppler.",Dilatação do ducto pancreático e biliar associados.,Achados sugestivos de neoplasia sólida pancreática.,"Massa hipoecogênica irregular na cabeça pancreática, medindo 32 x 24 mm, com vascularização interna ao Doppler. Dilatação do ducto pancreático e biliar associados. Achados sugestivos de neoplasia sólida pancreática."
Abdome Geral,Pâncreas - pós-operatório Whipple,"Cabeça pancreática ausente, com alças jejunais anastomosadas ao remanescente pancreático e colédoco.",Sem coleções líquidas ou dilatação de vias biliares.,Achados compatíveis com pós-operatório de duodenopancreatectomia (Whipple).,"Cabeça pancreática ausente, com alças jejunais anastomosadas ao remanescente pancreático e colédoco. Sem coleções líquidas ou dilatação de vias biliares. Achados compatíveis com pós-operatório de duodenopancreatectomia (Whipple)."
Abdome Geral,Pâncreas - pancreatite autoimune,Aumento difuso do pâncreas com margens mal definidas e ecotextura homogênea hipervascularizada.,Ducto pancreático central fino e contínuo.,Achados compatíveis com pancreatite autoimune tipo 1.,Aumento difuso do pâncreas com margens mal definidas e ecotextura homogênea hipervascularizada. Ducto pancreático central fino e contínuo. Achados compatíveis com pancreatite autoimune tipo 1.
Abdome Geral,Baço - normal,"Baço com dimensões dentro dos limites da normalidade, contornos regulares e ecotextura homogênea.",Sem lesões focais ou alterações vasculares.,Baço sem alterações ultrassonográficas.,"Baço com dimensões dentro dos limites da normalidade, contornos regulares e ecotextura homogênea. Sem lesões focais ou alterações vasculares. Baço sem alterações ultrassonográficas."
Abdome Geral,Baço - esplenomegalia leve,"Baço com dimensões discretamente aumentadas, medindo 13,8 cm em seu maior eixo.",Ecotextura preservada. Sem lesões focais.,Esplenomegalia leve com parênquima preservado.,"Baço com dimensões discretamente aumentadas, medindo 13,8 cm em seu maior eixo. Ecotextura preservada. Sem lesões focais. Esplenomegalia leve com parênquima preservado."
Abdome Geral,Baço - esplenomegalia acentuada,"Baço volumoso, medindo 18,6 cm, com contornos regulares e textura homogênea.",Sem sinais de lesões focais ou linfonodomegalias adjacentes.,Achados compatíveis com esplenomegalia acentuada.,"Baço volumoso, medindo 18,6 cm, com contornos regulares e textura homogênea. Sem sinais de lesões focais ou linfonodomegalias adjacentes. Achados compatíveis com esplenomegalia acentuada."
Abdome Geral,Baço - cisto esplênico simples,"Imagem anecoica arredondada, medindo 16 x 14 mm, com reforço posterior e contornos bem definidos.",Localizada no terço médio do parênquima esplênico.,Achados compatíveis com cisto esplênico simples.,"Imagem anecoica arredondada, medindo 16 x 14 mm, com reforço posterior e contornos bem definidos. Localizada no terço médio do parênquima esplênico. Achados compatíveis com cisto esplênico simples."
Abdome Geral,Baço - lesão hipoecogênica focal,"Lesão sólida hipoecogênica, ovalada, medindo 22 x 16 mm no polo inferior do baço.",Contornos regulares. Sem vascularização ao Doppler.,Lesão esplênica focal indeterminada. Sugere-se avaliação complementar.,"Lesão sólida hipoecogênica, ovalada, medindo 22 x 16 mm no polo inferior do baço. Contornos regulares. Sem vascularização ao Doppler. Lesão esplênica focal indeterminada. Sugere-se avaliação complementar."
Abdome Geral,Baço - infarto esplênico,"Área triangular hipoecogênica com margens bem definidas, localizada no polo superior do baço.",Ausência de vascularização ao Doppler.,Achados compatíveis com infarto esplênico segmentar.,"Área triangular hipoecogênica com margens bem definidas, localizada no polo superior do baço. Ausência de vascularização ao Doppler. Achados compatíveis com infarto esplênico segmentar."
Abdome Geral,Baço - esplenose acessória,"Imagem arredondada hiperecogênica com ecotextura semelhante ao baço, medindo 11 x 10 mm.",Localizada na região hilar esplênica.,Achados compatíveis com esplenose acessória.,"Imagem arredondada hiperecogênica com ecotextura semelhante ao baço, medindo 11 x 10 mm. Localizada na região hilar esplênica. Achados compatíveis com esplenose acessória."
Abdome Geral,Baço - múltiplos nódulos hipoecogênicos,"Múltiplas imagens nodulares hipoecogênicas, variando de 4 a 12 mm, distribuídas difusamente pelo parênquima esplênico.",Sem sinais de calcificação ou aumento do fluxo ao Doppler.,Achados inespecíficos. Pode estar relacionado a esplenite granulomatosa ou infiltração linfoproliferativa.,"Múltiplas imagens nodulares hipoecogênicas, variando de 4 a 12 mm, distribuídas difusamente pelo parênquima esplênico. Sem sinais de calcificação ou aumento do fluxo ao Doppler. Achados inespecíficos. Pode estar relacionado a esplenite granulomatosa ou infiltração linfoproliferativa."
Abdome Geral,Baço - abscesso esplênico,"Lesão hipoecogênica heterogênea com conteúdo ecogênico em seu interior, medindo 28 x 24 mm.",Margens irregulares e reforço posterior incompleto.,Achados compatíveis com abscesso esplênico.,"Lesão hipoecogênica heterogênea com conteúdo ecogênico em seu interior, medindo 28 x 24 mm. Margens irregulares e reforço posterior incompleto. Achados compatíveis com abscesso esplênico."
Abdome Geral,Baço - calcificações parenquimatosas,Múltiplos focos hiperecogênicos puntiformes com sombra acústica posterior no parênquima esplênico.,Distribuição difusa. Sem lesões ativas associadas.,Achados compatíveis com calcificações esplênicas residuais (provável sequela infecciosa ou granulomatosa).,Múltiplos focos hiperecogênicos puntiformes com sombra acústica posterior no parênquima esplênico. Distribuição difusa. Sem lesões ativas associadas. Achados compatíveis com calcificações esplênicas residuais (provável sequela infecciosa ou granulomatosa).
Abdome Geral,Baço - pós-esplenectomia,Ausência do baço na topografia habitual.,Sem massa residual. Região ocupada por alças intestinais.,Achado compatível com esplenectomia prévia.,Ausência do baço na topografia habitual. Sem massa residual. Região ocupada por alças intestinais. Achado compatível com esplenectomia prévia.
Abdome Geral,Baço - baço em ferradura,Parênquima esplênico alongado com extensão inferior fusiforme e curvatura medial.,Ecotextura e vascularização preservadas.,Achado compatível com variante anatômica: baço em ferradura.,Parênquima esplênico alongado com extensão inferior fusiforme e curvatura medial. Ecotextura e vascularização preservadas. Achado compatível com variante anatômica: baço em ferradura.
Abdome Geral,Rins - normais,"Rins com dimensões habituais, contornos regulares e parênquima preservado.",Sistema pielocalicinal não dilatado. Sem litíase ou lesões parenquimatosas.,Rins sem alterações ultrassonográficas.,"Rins com dimensões habituais, contornos regulares e parênquima preservado. Sistema pielocalicinal não dilatado. Sem litíase ou lesões parenquimatosas. Rins sem alterações ultrassonográficas."
Abdome Geral,Rim direito - cisto simples,"Imagem anecoica arredondada, medindo 18 x 14 mm, com reforço posterior e contornos bem definidos.",Localizada na região cortical do rim direito.,Achados compatíveis com cisto renal simples à direita.,"Imagem anecoica arredondada, medindo 18 x 14 mm, com reforço posterior e contornos bem definidos. Localizada na região cortical do rim direito. Achados compatíveis com cisto renal simples à direita."
Abdome Geral,Rim esquerdo - cisto simples,"Imagem anecoica, arredondada, medindo 22 x 18 mm, com reforço posterior no rim esquerdo.",Contornos finos e bem definidos. Sem septações.,Achados compatíveis com cisto renal simples à esquerda.,"Imagem anecoica, arredondada, medindo 22 x 18 mm, com reforço posterior no rim esquerdo. Contornos finos e bem definidos. Sem septações. Achados compatíveis com cisto renal simples à esquerda."
Abdome Geral,Rim direito - nefrolitíase,Imagem hiperecogênica com sombra acústica posterior no grupo calicial inferior do rim direito.,Sem dilatação pielocalicinal associada.,Achados compatíveis com cálculo renal à direita.,Imagem hiperecogênica com sombra acústica posterior no grupo calicial inferior do rim direito. Sem dilatação pielocalicinal associada. Achados compatíveis com cálculo renal à direita.
Abdome Geral,Rim esquerdo - nefrolitíase com hidronefrose,"Imagem hiperecogênica com sombra posterior no grupo médio, associada a leve dilatação do sistema pielocalicinal.",Parênquima preservado. Ureter proximal não visibilizado.,Nefrolitíase à esquerda com hidronefrose leve associada.,"Imagem hiperecogênica com sombra posterior no grupo médio, associada a leve dilatação do sistema pielocalicinal. Parênquima preservado. Ureter proximal não visibilizado. Nefrolitíase à esquerda com hidronefrose leve associada."
Abdome Geral,Rim esquerdo - pielonefrite aguda,Parênquima renal esquerdo com área hipoecogênica mal definida e perda do diferenciamento córtico-medular.,Contornos preservados. Sem dilatação pielocalicinal.,Achados compatíveis com pielonefrite aguda.,Parênquima renal esquerdo com área hipoecogênica mal definida e perda do diferenciamento córtico-medular. Contornos preservados. Sem dilatação pielocalicinal. Achados compatíveis com pielonefrite aguda.
Abdome Geral,Rim direito - agenesia renal,Ausência de estrutura renal identificável na topografia habitual do rim direito.,Sem imagem ectópica em varredura abdominal completa.,Achado compatível com agenesia renal à direita.,Ausência de estrutura renal identificável na topografia habitual do rim direito. Sem imagem ectópica em varredura abdominal completa. Achado compatível com agenesia renal à direita.
Abdome Geral,Rins - múltiplos cistos bilaterais,Múltiplas formações anecoicas arredondadas com reforço posterior nos dois rins.,Maior cisto com 32 mm no rim esquerdo. Parênquima preservado.,Achados compatíveis com rins policísticos simples.,Múltiplas formações anecoicas arredondadas com reforço posterior nos dois rins. Maior cisto com 32 mm no rim esquerdo. Parênquima preservado. Achados compatíveis com rins policísticos simples.
Abdome Geral,Rins - hidronefrose moderada,Dilatação moderada do sistema pielocalicinal com afilamento do parênquima renal.,Sem cálculo visível. Ureter proximal não identificado.,Achados compatíveis com hidronefrose moderada.,Dilatação moderada do sistema pielocalicinal com afilamento do parênquima renal. Sem cálculo visível. Ureter proximal não identificado. Achados compatíveis com hidronefrose moderada.
Abdome Geral,Rins - cisto parapélvico,"Imagem anecoica arredondada adjacente à pelve renal direita, sem comunicação aparente com o sistema coletor.",Sem sombra acústica ou septações. Reforço posterior presente.,Achados compatíveis com cisto parapélvico.,"Imagem anecoica arredondada adjacente à pelve renal direita, sem comunicação aparente com o sistema coletor. Sem sombra acústica ou septações. Reforço posterior presente. Achados compatíveis com cisto parapélvico."
Abdome Geral,Bexiga - normal,"Bexiga com paredes finas, conteúdo anecoico e contornos regulares.",Boa distensão no momento do exame.,Bexiga sem alterações ultrassonográficas.,"Bexiga com paredes finas, conteúdo anecoico e contornos regulares. Boa distensão no momento do exame. Bexiga sem alterações ultrassonográficas."
Abdome Geral,Bexiga - cistite,"Espessamento difuso da parede vesical, com discretas trabeculações internas.","Conteúdo homogêneo, anecoico. Sem massas visíveis.",Achados compatíveis com cistite.,"Espessamento difuso da parede vesical, com discretas trabeculações internas. Conteúdo homogêneo, anecoico. Sem massas visíveis. Achados compatíveis com cistite."
Abdome Geral,Bexiga - resíduo pós-miccional aumentado,Volume residual vesical de 140 ml após micção voluntária.,Paredes vesicais espessadas.,Achados compatíveis com aumento do resíduo pós-miccional.,Volume residual vesical de 140 ml após micção voluntária. Paredes vesicais espessadas. Achados compatíveis com aumento do resíduo pós-miccional.
Abdome Geral,Próstata - aumento volumétrico,"Próstata aumentada, medindo 44 x 38 x 34 mm, volume estimado em 30 ml.",Ecotextura homogênea. Lobo mediano preservado.,Achados compatíveis com hiperplasia prostática benigna.,"Próstata aumentada, medindo 44 x 38 x 34 mm, volume estimado em 30 ml. Ecotextura homogênea. Lobo mediano preservado. Achados compatíveis com hiperplasia prostática benigna."
Abdome Geral,Próstata - calcificações,Presença de focos hiperecogênicos com sombra posterior no interior da próstata.,Distribuição periuretral. Sem nódulos sólidos associados.,Achados compatíveis com calcificações prostáticas.,Presença de focos hiperecogênicos com sombra posterior no interior da próstata. Distribuição periuretral. Sem nódulos sólidos associados. Achados compatíveis com calcificações prostáticas.
Abdome Geral,Próstata - nódulo hipoecogênico,Nódulo sólido hipoecogênico medindo 12 x 9 mm na zona periférica direita da próstata.,Contornos regulares. Sem aumento da vascularização ao Doppler.,Achado prostático indeterminado. Avaliação complementar sugerida.,Nódulo sólido hipoecogênico medindo 12 x 9 mm na zona periférica direita da próstata. Contornos regulares. Sem aumento da vascularização ao Doppler. Achado prostático indeterminado. Avaliação complementar sugerida.
Abdome Geral,Aorta abdominal - normal,"Aorta abdominal com calibre normal, trajeto retilíneo e paredes regulares.",Sem evidência de dilatações ou trombos.,Aorta abdominal sem alterações ultrassonográficas.,"Aorta abdominal com calibre normal, trajeto retilíneo e paredes regulares. Sem evidência de dilatações ou trombos. Aorta abdominal sem alterações ultrassonográficas."
Abdome Geral,Aorta abdominal - ectasia,"Aorta com leve dilatação difusa, medindo até 2,5 cm em seu maior diâmetro.",Paredes regulares. Sem trombos ou calcificações.,Achado compatível com ectasia aórtica.,"Aorta com leve dilatação difusa, medindo até 2,5 cm em seu maior diâmetro. Paredes regulares. Sem trombos ou calcificações. Achado compatível com ectasia aórtica."
Abdome Geral,Aneurisma de aorta abdominal,"Dilatação fusiforme da aorta abdominal infrarrenal, medindo 4,2 cm de diâmetro.",Sem trombo mural. Trajeto retilíneo preservado.,Achado compatível com aneurisma de aorta abdominal infrarrenal.,"Dilatação fusiforme da aorta abdominal infrarrenal, medindo 4,2 cm de diâmetro. Sem trombo mural. Trajeto retilíneo preservado. Achado compatível com aneurisma de aorta abdominal infrarrenal."
Abdome Geral,Aorta abdominal - trombo mural,Espessamento parietal com material ecogênico aderido à parede posterior da aorta.,Fluxo residual presente ao Doppler. Sem dilatação associada.,Achado compatível com trombo mural em aorta abdominal.,Espessamento parietal com material ecogênico aderido à parede posterior da aorta. Fluxo residual presente ao Doppler. Sem dilatação associada. Achado compatível com trombo mural em aorta abdominal.
Abdome Geral,Linfonodos mesentéricos reacionais,"Linfonodos ovais, hipoecogênicos, com hilo ecogênico central, medindo até 10 mm.",Localizados em cadeia mesentérica. Distribuição simétrica.,Achados compatíveis com linfonodomegalias reacionais.,"Linfonodos ovais, hipoecogênicos, com hilo ecogênico central, medindo até 10 mm. Localizados em cadeia mesentérica. Distribuição simétrica. Achados compatíveis com linfonodomegalias reacionais."
Abdome Geral,Retroperitônio - normal,Sem massas sólidas ou linfonodomegalias retroperitoneais visíveis ao exame.,Tecidos retroperitoneais com ecogenicidade preservada.,Retroperitônio sem alterações ultrassonográficas.,Sem massas sólidas ou linfonodomegalias retroperitoneais visíveis ao exame. Tecidos retroperitoneais com ecogenicidade preservada. Retroperitônio sem alterações ultrassonográficas.
Abdome Geral,Intestino - espessamento de alça,Alça intestinal com espessamento parietal focal e perda da estratificação em segmento ileal terminal.,Compressibilidade reduzida e vascularização aumentada ao Doppler.,Achados compatíveis com inflamação intestinal localizada.,Alça intestinal com espessamento parietal focal e perda da estratificação em segmento ileal terminal. Compressibilidade reduzida e vascularização aumentada ao Doppler. Achados compatíveis com inflamação intestinal localizada.
Abdome Geral,Parede abdominal - normal,Camadas musculares da parede abdominal com espessura e ecotextura preservadas.,"Sem hérnias, coleções ou massas visíveis.",Parede abdominal sem alterações ultrassonográficas.,"Camadas musculares da parede abdominal com espessura e ecotextura preservadas. Sem hérnias, coleções ou massas visíveis. Parede abdominal sem alterações ultrassonográficas."
Abdome Geral,Escroto - normal,Testículos com ecotextura homogênea e vascularização preservada ao Doppler colorido.,Epidídimos com volume e textura habituais. Sem líquido peritesticular.,Escroto sem alterações ultrassonográficas.,Testículos com ecotextura homogênea e vascularização preservada ao Doppler colorido. Epidídimos com volume e textura habituais. Sem líquido peritesticular. Escroto sem alterações ultrassonográficas.
Abdome Geral,Escroto - varicocele,"Presença de múltiplas veias dilatadas no cordão espermático esquerdo, medindo até 3,2 mm.",Aumento do calibre venoso com manobra de Valsalva.,Achados compatíveis com varicocele à esquerda.,"Presença de múltiplas veias dilatadas no cordão espermático esquerdo, medindo até 3,2 mm. Aumento do calibre venoso com manobra de Valsalva. Achados compatíveis com varicocele à esquerda."
Abdome Geral,Rins - aumento cortical assimétrico,"Espessamento do córtex renal esquerdo com ecotextura levemente heterogênea, medindo 18 mm de espessura.",Parênquima direito com espessura habitual. Sistema coletor não dilatado bilateralmente.,"Achado inespecífico, podendo representar resposta adaptativa ou inflamatória focal.","Espessamento do córtex renal esquerdo com ecotextura levemente heterogênea, medindo 18 mm de espessura. Parênquima direito com espessura habitual. Sistema coletor não dilatado bilateralmente. Achado inespecífico, podendo representar resposta adaptativa ou inflamatória focal."
Abdome Geral,Rins - litíase coraliforme,"Formação hiperecogênica extensa preenchendo parcialmente o sistema pielocalicinal direito, com sombra acústica posterior densa.",Parênquima com redução de espessura. Sem dilatação significativa do sistema coletor.,Achados compatíveis com cálculo coraliforme renal à direita.,"Formação hiperecogênica extensa preenchendo parcialmente o sistema pielocalicinal direito, com sombra acústica posterior densa. Parênquima com redução de espessura. Sem dilatação significativa do sistema coletor. Achados compatíveis com cálculo coraliforme renal à direita."
Abdome Geral,Rins - pielocalicinal discretamente ectásico,"Sistema coletor do rim esquerdo com leve dilatação, sem afilamento parenquimatoso associado.",Sem cálculo visível ou imagem obstrutiva. Ureter proximal não identificado.,Ectasia pielocalicinal leve sem evidência de obstrução definida.,"Sistema coletor do rim esquerdo com leve dilatação, sem afilamento parenquimatoso associado. Sem cálculo visível ou imagem obstrutiva. Ureter proximal não identificado. Ectasia pielocalicinal leve sem evidência de obstrução definida."
Abdome Geral,Bexiga - pseudopolipo vesical,"Imagem ecogênica sésil, arredondada, medindo 4 mm, aderida à parede posterior da bexiga.",Sem mobilidade ou sombra acústica. Parede sem espessamento adjacente.,"Achado compatível com pseudopolipo vesical, provavelmente inflamatório.","Imagem ecogênica sésil, arredondada, medindo 4 mm, aderida à parede posterior da bexiga. Sem mobilidade ou sombra acústica. Parede sem espessamento adjacente. Achado compatível com pseudopolipo vesical, provavelmente inflamatório."
Abdome Geral,Próstata - zona periférica heterogênea,Zona periférica prostática com leve heterogeneidade e foco hiperecogênico isolado na porção póstero-lateral direita.,Volume prostático estimado em 25 ml. Sem sinais de invasão ou aumento de vascularização local.,Achado inespecífico. Sugerida correlação com histórico clínico e PSA.,Zona periférica prostática com leve heterogeneidade e foco hiperecogênico isolado na porção póstero-lateral direita. Volume prostático estimado em 25 ml. Sem sinais de invasão ou aumento de vascularização local. Achado inespecífico. Sugerida correlação com histórico clínico e PSA.
Abdome Geral,Aneurisma de aorta com trombo,"Dilatação fusiforme da aorta abdominal infrarrenal medindo 4,8 cm, com material ecogênico periférico compatível com trombo mural.",Fluxo central presente ao Doppler. Ilíacas com calibre preservado.,Achado compatível com aneurisma de aorta abdominal com trombo mural parcial.,"Dilatação fusiforme da aorta abdominal infrarrenal medindo 4,8 cm, com material ecogênico periférico compatível com trombo mural. Fluxo central presente ao Doppler. Ilíacas com calibre preservado. Achado compatível com aneurisma de aorta abdominal com trombo mural parcial."
Abdome Geral,Veia cava inferior - compressão extrínseca,"Afundamento focal da parede da veia cava inferior, com redução de calibre e deformidade localizada.",Fluxo mantido ao estudo Doppler. Compressão extrínseca provável.,Achado compatível com compressão extrínseca de veia cava inferior.,"Afundamento focal da parede da veia cava inferior, com redução de calibre e deformidade localizada. Fluxo mantido ao estudo Doppler. Compressão extrínseca provável. Achado compatível com compressão extrínseca de veia cava inferior."
Abdome Geral,Linfonodos - aumento isolado,"Linfonodo mesentérico único, ovalado, medindo 13 x 6 mm, com hilo central preservado.",Sem linfonodomegalias adicionais visíveis.,"Achado compatível com linfonodo isolado, aspecto reacional.","Linfonodo mesentérico único, ovalado, medindo 13 x 6 mm, com hilo central preservado. Sem linfonodomegalias adicionais visíveis. Achado compatível com linfonodo isolado, aspecto reacional."
Abdome Geral,Retroperitônio - massa sólida indeterminada,Formação sólida hipoecogênica medindo 26 x 20 mm junto ao eixo da aorta abdominal.,Contornos irregulares. Fluxo arterial interno discreto ao Doppler.,Achado compatível com massa retroperitoneal indeterminada. Avaliação complementar sugerida.,Formação sólida hipoecogênica medindo 26 x 20 mm junto ao eixo da aorta abdominal. Contornos irregulares. Fluxo arterial interno discreto ao Doppler. Achado compatível com massa retroperitoneal indeterminada. Avaliação complementar sugerida.
Abdome Geral,Intestino - espessamento difuso de parede,"Espessamento concêntrico da parede do cólon descendente, com preservação parcial da estratificação de camadas.",Compressibilidade mantida. Vascularização aumentada ao Doppler.,Achados inespecíficos. Compatível com colite em atividade.,"Espessamento concêntrico da parede do cólon descendente, com preservação parcial da estratificação de camadas. Compressibilidade mantida. Vascularização aumentada ao Doppler. Achados inespecíficos. Compatível com colite em atividade."
Abdome Geral,Parede abdominal - hérnia incisional,Descontinuidade do plano muscular da parede anterior com protrusão de alça intestinal com peristalse visível.,Conteúdo reduzível à compressão. Sem sinais de encarceramento.,Achados compatíveis com hérnia incisional da parede abdominal.,Descontinuidade do plano muscular da parede anterior com protrusão de alça intestinal com peristalse visível. Conteúdo reduzível à compressão. Sem sinais de encarceramento. Achados compatíveis com hérnia incisional da parede abdominal.
Abdome Geral,Escroto - epididimite,"Epidídimo aumentado de volume, hipoecogênico e com vascularização aumentada ao Doppler colorido.",Testículo com ecotextura preservada. Sem líquido significativo.,Achados compatíveis com epididimite aguda.,"Epidídimo aumentado de volume, hipoecogênico e com vascularização aumentada ao Doppler colorido. Testículo com ecotextura preservada. Sem líquido significativo. Achados compatíveis com epididimite aguda."
